[2018-08-09 17:24:40.585] [renderer1] [info] no standard startup: panel is active
[2018-08-09 17:24:41.043] [renderer1] [info] No grammar found for scope source.applescript
[2018-08-09 17:24:41.132] [renderer1] [info] No grammar found for scope text.html.textile
[2018-08-09 17:24:41.245] [renderer1] [info] No grammar found for scope source.c++
[2018-08-09 17:24:41.353] [renderer1] [info] No grammar found for scope source.js.jquery
[2018-08-09 17:24:41.397] [renderer1] [info] No grammar found for scope source.smarty
[2018-08-09 17:24:41.716] [renderer1] [info] No grammar found for scope source.dosbatch
[2018-08-09 17:24:42.485] [renderer1] [info] No grammar found for scope source.scala
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope source.dart
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope text.html.javadoc
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope source.postscript
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope source.sass
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope source.less
[2018-08-09 17:24:42.655] [renderer1] [info] No grammar found for scope source.stylus
